subid, subage, counter, trialtype, chosetarget, choselure, targetname, chosenname, colorasked, searchtype, choseunique, targetshape, targetcolor, targetword, distractorshape1, distractorshape2, distractorcolor1, distractorcolor2, distractorcolor3, date, timestamp, rtsearch, targetpos, lurepos, obj1shape, obj1color, obj2shape, obj2color, obj3shape, obj3color, obj4shape, obj4color 
subid, subage, counter, trialtype, chosetarget, choselure, targetname, chosenname, colorasked, searchtype, choseunique, targetshape, targetcolor, targetword, distractorshape1, distractorshape2, distractorcolor1, distractorcolor2, distractorcolor3, date, timestamp, rtsearch, targetpos, lurepos 
Test,NaN,2,2,false,false,12green.jpg,stim-images/object12blue.jpg,true,sedivy,false,12,green,blicket,5,11,blue,purple,None,6/28/2018,12:30,6065,4,0
Test,NaN,3,4,true,false,14red.jpg,14red.jpg,true,uniquetarget,true,14,red,sprock,2,None,green,blue,purple,6/28/2018,12:30,209491,1,0
test,0,1,1,true,false,7red.jpg,7red.jpg,false,sedivy,false,7,red,gade,2,3,purple,green,None,6/28/2018,12:34,14597,4,0
test,0,2,4,true,false,13green.jpg,13green.jpg,true,uniquetarget,true,13,green,toma,5,None,blue,red,purple,6/28/2018,12:34,7276,4,0
Test,NaN,1,1,false,false,13red.jpg,stim-images/object12purple.jpg,false,sedivy,true,13,red,blicket,1,12,blue,purple,None,6/28/2018,12:35,3148,4,0
0,0,1,1,false,false,14purple.jpg,stim-images/object4green.jpg,false,sedivy,true,14,purple,sprock,6,4,red,green,None,6/28/2018,12:36,7963,2,0
0,0,2,4,true,false,10purple.jpg,10purple.jpg,true,uniquetarget,true,10,purple,koba,8,None,blue,red,green,6/28/2018,12:36,4911,2,0
0,0,3,6,false,true,12blue.jpg,stim-images/object5blue.jpg,true,colorfoil,false,12,blue,toma,5,None,purple,red,None,6/28/2018,12:36,5205,3,1
0,0,4,2,true,false,11blue.jpg,11blue.jpg,true,sedivy,false,11,blue,blicket,13,2,red,purple,None,6/28/2018,12:36,6797,1,1
0,0,1,5,false,false,5green.jpg,stim-images/object1blue.jpg,false,colorfoil,false,5,green,toma,1,None,purple,blue,None,6/28/2018,12:37,2608,4,2
Test,0,1,6,false,true,6green.jpg,stim-images/object4green.jpg,true,colorfoil,false,6,green,koba,4,None,purple,red,None,6/28/2018,15:16,5229,3,2
Test,0,2,1,false,true,2red.jpg,stim-images/object14green.jpg,false,sedivy,true,2,red,wug,1,14,purple,green,None,6/28/2018,15:16,4088,3,2
Test,0,3,5,true,false,10green.jpg,10green.jpg,false,colorfoil,true,10,green,blicket,13,None,purple,blue,None,6/28/2018,15:16,5191,4,1
Test,0,4,4,true,false,5red.jpg,5red.jpg,true,uniquetarget,true,5,red,gade,8,None,blue,green,purple,6/28/2018,15:16,4177,4,1
Test,0,5,3,true,false,7blue.jpg,7blue.jpg,false,uniquetarget,true,7,blue,toma,9,None,red,purple,green,6/28/2018,15:16,3573,2,1
Test,0,6,2,true,false,3purple.jpg,3purple.jpg,true,sedivy,false,3,purple,dax,11,12,green,red,None,6/28/2018,15:16,4784,3,1
Test,0,1,5,true,false,11red.jpg,11red.jpg,false,colorfoil,true,11,red,wug,7,None,purple,green,None,6/28/2018,15:17,3515,3,4
Test,0,2,3,true,false,13purple.jpg,13purple.jpg,false,uniquetarget,true,13,purple,blicket,14,None,green,red,blue,6/28/2018,15:17,6094,2,4
Test,0,3,4,true,false,10green.jpg,10green.jpg,true,uniquetarget,true,10,green,gade,3,None,blue,purple,red,6/28/2018,15:17,3801,3,4
